method,delta_mrr,ci_low,ci_high,wilcoxon_p
B1_jaccard,0.0803,0.0507,0.1109,6.946e-04
B2_tfidf_cos,0.0540,0.0292,0.0795,5.636e-09
B3_bm25,0.1200,0.0864,0.1555,3.631e-13
B4_sbert,0.2362,0.1766,0.2955,3.287e-12
B5_word2vec,0.3052,0.2444,0.3653,1.479e-17
B6_node2vec,0.1929,0.1417,0.2452,5.382e-12
A1_wheel_treeW,0.2244,0.1696,0.2793,3.108e-14
A2_ppmi_svd,0.0655,0.0227,0.1096,3.084e-04
A3_signature,0.0774,0.0512,0.1044,1.151e-09
A4_bigram_salience,0.3789,0.3193,0.4385,5.314e-22
A5_bilinear,0.3438,0.2863,0.4031,3.989e-22
A6_gbm_fusion,0.0632,0.0278,0.1005,3.330e-03
