method,best_params,mrr,mrr_std,hits1,hits3
A3_signature,{'C': 0.01},0.5131,0.0029,0.4067,0.5654
A4_bigram_salience,{'C': 0.01},0.2890,0.0123,0.1794,0.3150
A6_gbm_fusion,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.01}",0.4746,0.0060,0.3497,0.5491
A5_bilinear,"{'rank': 16, 'iters': 1000}",0.2358,0.0144,0.1308,0.2604
A2_ppmi_svd,{'rank': 50},0.4431,0.0007,0.3421,0.4976
B5_word2vec,"{'dim': 64, 'window': 5, 'epochs': 200}",0.4018,0.0015,0.2879,0.4482
B6_node2vec,"{'dim': 32, 'p': 0.25, 'q': 4}",0.3602,0.0103,0.2480,0.4043
B3_bm25,"{'k1': 2.0, 'b': 0.75}",0.3919,0.0000,0.2823,0.4402
A1_wheel_treeW,"{'w': (1, 1, 1)}",0.3577,0.0000,0.2402,0.3915
order3,parameter-free,0.5080,0.0000,0.3971,0.5670
