p_idx,product,linked_query,alt_candidates
85,Zero Two,212 VIP Men Carolina Herrera,1 Million Lucky — Rabanne; 1 Million — Rabanne; Aigner Black for Men — Etienne Aigner; Antonio — Antonio Banderas; Black Coffee — Odetu
247,Spookie,5th Avenue — Elizabeth Arden,724 — Maison Francis Kurkdjian; Black Opium Illicit Green — Yves Saint Laurent; Fantasia Mermaid — Anna Sui
184,Forest Night,Ameer Al Oudh Intense Oud Lattafa Perfumes,Back to Pink — Victoria’s Secret; English Pear & Freesia Jo Malone London; Euphoria Blossom Calvin Klein; Gold immortals by ex nihilo; Kirkè Tiziana Terenzi
211,Gempita,Aqua Universalis — Maison Francis Kurkdjian,1 Million Lucky — Rabanne; Amor Amor — Cacharel; B. United Woman Benetton; Black Opium Illicit Green — Yves Saint Laurent; Dolly Girl by Anna Sui
8,Red Glass,Baccarat Rouge 540 Extrait de Parfum by Maison Francis Kurkdjian,Baccarat Rouge 540 — Maison Francis Kurkdjian; Instant Crush — Mancera
317,Iron Man,Burberry Sport for Men — Burberry,Black XS L’Exces for Him — Rabanne
232,Samericek,Burberry Summer — Burberry,DKNY Be Delicious — Donna Karan; Miu Miu — Miu Miu; Omnia Green Jade Bvlgari
287,Expose,Cerruti 1881 Black — Cerruti,Legend by Montblanc
329,Pyramid,Dunhill London — Alfred Dunhill,212 VIP Men Carolina Herrera; Bleu de Chanel — Chanel; Boss In Motion — Hugo Boss; Gypsy Water — Byredo; Jaguar For Men Jaguar
326,Dorsava,Elixir — Aurora Scents,CR7 Cristiano Ronaldo; Individuel Montblanc for men; Sauvage Dior for men
99,Tow Combination,Le Jour se Lève Louis Vuitton,5th Avenue by Elizabeth Arden; 5th Avenue — Elizabeth Arden; DKNY Be Delicious Donna Karan for women; DKNY Be Delicious — Donna Karan; Guess for Women Guess
202,Ruby Red,Noir Tom Ford,Secret Wish Magic Romance — Anna Sui
225,Collector's Edition,Oriental — Zara,Amber Fever — Mancera; Dalal — Al Rehab / ALREHAB Perfumes; Escada Magnetism — Escada; Vanilla Latte — So...?
333,Golden Dust,Phantom — Rabanne,Black XS L’Exces for Him — Rabanne; CH Men Prive — Carolina Herrera; Sauvage Dior for men
331,Haleef,Un Jardin Sur Le Nil — Hermès,Omnia Green Jade Bvlgari
154,Haystack,Wanted Eau de Parfum Azzaro,CR7 Cristiano Ronaldo; Jaguar For Men Jaguar; Sauvage Dior for men; VIP Black Red — Carolina Herrera; Y Eau de Parfum Yves Saint Laurent for men
337,Satnight,Weekend for Men — Burberry,B. United Woman Benetton; Escada Magnetism — Escada; Euphoria Blossom Calvin Klein; Insolence Eau de Parfum Guerlain; Nomade — Chloé
