eval_set,N,MRR,Hits@1,Hits@3,Hits@10,n_queries
ALL,1,0.5049,0.3654,0.5817,0.7692,208
ALL,2,0.5663,0.4279,0.6490,0.8125,208
ALL,3,0.5681,0.4279,0.6587,0.8077,208
ALL,4,0.5763,0.4423,0.6635,0.8125,208
ALL,5,0.5765,0.4423,0.6635,0.8173,208
ALL,6,0.5765,0.4423,0.6635,0.8173,208
NON_OP,1,0.4423,0.3211,0.4954,0.6789,109
NON_OP,2,0.5093,0.3945,0.5688,0.7064,109
NON_OP,3,0.5052,0.3945,0.5688,0.6881,109
NON_OP,4,0.5097,0.4037,0.5596,0.6881,109
NON_OP,5,0.5100,0.4037,0.5596,0.6881,109
NON_OP,6,0.5100,0.4037,0.5596,0.6881,109
