comparison,eval_set,delta_MRR,ci_low,ci_high,wilcoxon_p_raw,p_adj_holm,n_nonzero,verdict
order2-order1,ALL,0.0614,0.0344,0.0899,2.304e-08,1.152e-07,110,SIGNIFIKAN
order3-order2,ALL,0.0018,-0.0060,0.0096,6.580e-01,1.000e+00,49,"AMBIGU(p_adj<0.05,CI_excludes_0,|dMRR|>=0.01)"
order4-order3,ALL,0.0082,0.0009,0.0176,1.198e-01,4.792e-01,36,"AMBIGU(p_adj<0.05,|dMRR|>=0.01)"
order5-order4,ALL,0.0002,-0.0004,0.0008,2.208e-01,6.624e-01,14,"AMBIGU(p_adj<0.05,CI_excludes_0,|dMRR|>=0.01)"
order6-order5,ALL,0.0000,0.0000,0.0000,1.000e+00,1.000e+00,0,"AMBIGU(p_adj<0.05,CI_excludes_0,|dMRR|>=0.01)"
order2-order1,NON_OP,0.0670,0.0252,0.1114,1.506e-04,7.532e-04,64,SIGNIFIKAN
order3-order2,NON_OP,-0.0041,-0.0090,-0.0002,1.845e-02,7.381e-02,32,"AMBIGU(p_adj<0.05,|dMRR|>=0.01)"
order4-order3,NON_OP,0.0045,-0.0016,0.0150,7.570e-01,1.000e+00,25,"AMBIGU(p_adj<0.05,CI_excludes_0,|dMRR|>=0.01)"
order5-order4,NON_OP,0.0003,-0.0008,0.0015,3.453e-01,1.000e+00,13,"AMBIGU(p_adj<0.05,CI_excludes_0,|dMRR|>=0.01)"
order6-order5,NON_OP,0.0000,0.0000,0.0000,1.000e+00,1.000e+00,0,"AMBIGU(p_adj<0.05,CI_excludes_0,|dMRR|>=0.01)"
