method,P,L,U,best_params,eval_set,n_queries,MRR,MRR_std,Hits@1,Hits@3,Hits@10,skipped
B1_jaccard,0,0,0,none,ALL,208,0.3514,0.0000,0.2067,0.3942,0.6731,False
B1_jaccard,0,0,0,none,NON_OP,109,0.3178,0.0000,0.2018,0.3303,0.5505,False
B2_tfidf_cos,0,0,0,none,ALL,208,0.5049,0.0000,0.3654,0.5817,0.7692,False
B2_tfidf_cos,0,0,0,none,NON_OP,109,0.4423,0.0000,0.3211,0.4954,0.6789,False
B3_bm25,0,0,0,"{'k1': 1.5, 'b': 1.0}",ALL,208,0.4164,0.0000,0.2788,0.4952,0.6875,False
B3_bm25,0,0,0,"{'k1': 1.5, 'b': 1.0}",NON_OP,109,0.3803,0.0000,0.2569,0.4495,0.6055,False
B4_sbert,0,0,0,none,ALL,208,0.5510,0.0000,0.4423,0.6010,0.7740,False
B4_sbert,0,0,0,none,NON_OP,109,0.4137,0.0000,0.3119,0.4495,0.6422,False
B5_word2vec,1,0,1,"{'dim': 32, 'window': 3}",ALL,208,0.2142,0.0132,0.1385,0.2115,0.3577,False
B5_word2vec,1,0,1,"{'dim': 32, 'window': 3}",NON_OP,109,0.1759,0.0188,0.1064,0.1651,0.3064,False
B6_node2vec,1,0,1,"{'dim': 32, 'window': 3}",ALL,208,0.2310,0.0135,0.1423,0.2365,0.4288,False
B6_node2vec,1,0,1,"{'dim': 32, 'window': 3}",NON_OP,109,0.1859,0.0288,0.1064,0.1817,0.3725,False
A1_wheel_treeW,0,0,0,none,ALL,208,0.3027,0.0000,0.1827,0.3365,0.5385,False
A1_wheel_treeW,0,0,0,none,NON_OP,109,0.2658,0.0000,0.1560,0.3119,0.4495,False
A2_ppmi_svd,1,0,1,{'dim': 50},ALL,208,0.5049,0.0012,0.3817,0.5769,0.7260,False
A2_ppmi_svd,1,0,1,{'dim': 50},NON_OP,109,0.4847,0.0018,0.3872,0.5229,0.6606,False
A3_signature,1,1,0,{'C': 0.5},ALL,208,0.5546,0.0025,0.4163,0.6317,0.8135,False
A3_signature,1,1,0,{'C': 0.5},NON_OP,109,0.4919,0.0045,0.3835,0.5431,0.6936,False
A4_bigram_salience,1,1,0,{'C': 0.5},ALL,208,0.2225,0.0146,0.1173,0.2452,0.4452,False
A4_bigram_salience,1,1,0,{'C': 0.5},NON_OP,109,0.2117,0.0219,0.1119,0.2330,0.4385,False
A5_bilinear,1,1,0,"{'rank': 4, 'l2': 0.01}",ALL,208,0.2922,0.0150,0.1654,0.3240,0.5625,False
A5_bilinear,1,1,0,"{'rank': 4, 'l2': 0.01}",NON_OP,109,0.2447,0.0141,0.1303,0.2624,0.4844,False
A6_gbm_fusion,1,1,0,"{'n_estimators': 200, 'max_depth': 3}",ALL,208,0.4608,0.0041,0.2962,0.5500,0.7856,False
A6_gbm_fusion,1,1,0,"{'n_estimators': 200, 'max_depth': 3}",NON_OP,109,0.4242,0.0053,0.2881,0.4881,0.6771,False
P1_order2,1,0,0,"N=2 (nested-CV, Tahap 6)",ALL,208,0.5663,0.0000,0.4279,0.6490,0.8125,False
P1_order2,1,0,0,"N=2 (nested-CV, Tahap 6)",NON_OP,109,0.5093,0.0000,0.3945,0.5688,0.7064,False
P2_fusion,1,1,0,{'C': 2.0},ALL,208,0.5673,0.0005,0.4327,0.6471,0.7990,False
P2_fusion,1,1,0,{'C': 2.0},NON_OP,109,0.5113,0.0006,0.4037,0.5615,0.6899,False
P3_hubidf,1,0,0,none,ALL,208,0.5163,0.0000,0.3798,0.5913,0.7885,False
P3_hubidf,1,0,0,none,NON_OP,109,0.4607,0.0000,0.3486,0.5046,0.6972,False
