comparison,eval_set,delta_MRR,ci_low,ci_high,wilcoxon_p_raw,p_adj_BH,n_nonzero,verdict
P1_order2_vs_B1_jaccard,ALL,0.2149,0.1752,0.2561,2.759e-22,9.657e-22,135,SIGNIFIKAN
P1_order2_vs_B2_tfidf_cos,ALL,0.0614,0.0344,0.0899,2.304e-08,3.584e-08,110,SIGNIFIKAN
P1_order2_vs_B3_bm25,ALL,0.1499,0.1153,0.1852,5.684e-17,1.326e-16,139,SIGNIFIKAN
P1_order2_vs_B4_sbert,ALL,0.0154,-0.0304,0.0608,2.781e-01,2.781e-01,133,"AMBIGU(p_adj<0.05,CI_excludes_0)"
P1_order2_vs_B5_word2vec,ALL,0.3521,0.2991,0.4067,1.076e-24,1.506e-23,198,SIGNIFIKAN
P1_order2_vs_B6_node2vec,ALL,0.3353,0.2848,0.3868,3.413e-24,2.389e-23,199,SIGNIFIKAN
P1_order2_vs_A1_wheel_treeW,ALL,0.2636,0.2065,0.3211,1.087e-16,2.174e-16,167,SIGNIFIKAN
P1_order2_vs_A2_ppmi_svd,ALL,0.0614,0.0203,0.1028,7.117e-04,9.058e-04,135,SIGNIFIKAN
P1_order2_vs_A3_signature,ALL,0.0117,-0.0032,0.0276,8.755e-03,1.021e-02,88,AMBIGU(CI_excludes_0)
P1_order2_vs_A4_bigram_salience,ALL,0.3439,0.2911,0.3973,7.474e-24,3.488e-23,202,SIGNIFIKAN
P1_order2_vs_A5_bilinear,ALL,0.2742,0.2209,0.3289,6.175e-20,1.729e-19,191,SIGNIFIKAN
P1_order2_vs_A6_gbm_fusion,ALL,0.1055,0.0754,0.1371,1.635e-12,2.861e-12,141,SIGNIFIKAN
P1_order2_vs_P2_fusion,ALL,-0.0010,-0.0065,0.0023,2.517e-02,2.710e-02,63,"AMBIGU(CI_excludes_0,|dMRR|>=0.01)"
P1_order2_vs_P3_hubidf,ALL,0.0500,0.0240,0.0775,1.588e-06,2.223e-06,104,SIGNIFIKAN
P1_order2_vs_B1_jaccard,NON_OP,0.1916,0.1412,0.2449,3.010e-13,2.831e-12,73,SIGNIFIKAN
P1_order2_vs_B2_tfidf_cos,NON_OP,0.0670,0.0252,0.1114,1.506e-04,2.343e-04,64,SIGNIFIKAN
P1_order2_vs_B3_bm25,NON_OP,0.1290,0.0798,0.1797,6.569e-08,1.314e-07,74,SIGNIFIKAN
P1_order2_vs_B4_sbert,NON_OP,0.0957,0.0374,0.1538,5.742e-04,8.039e-04,77,SIGNIFIKAN
P1_order2_vs_B5_word2vec,NON_OP,0.3335,0.2603,0.4086,4.044e-13,2.831e-12,106,SIGNIFIKAN
P1_order2_vs_B6_node2vec,NON_OP,0.3235,0.2511,0.3965,2.307e-12,1.077e-11,106,SIGNIFIKAN
P1_order2_vs_A1_wheel_treeW,NON_OP,0.2436,0.1650,0.3230,1.953e-09,4.556e-09,90,SIGNIFIKAN
P1_order2_vs_A2_ppmi_svd,NON_OP,0.0247,-0.0300,0.0778,2.495e-01,2.495e-01,75,"AMBIGU(p_adj<0.05,CI_excludes_0)"
P1_order2_vs_A3_signature,NON_OP,0.0174,-0.0022,0.0399,1.185e-03,1.508e-03,56,AMBIGU(CI_excludes_0)
P1_order2_vs_A4_bigram_salience,NON_OP,0.2976,0.2236,0.3720,8.780e-11,3.073e-10,106,SIGNIFIKAN
P1_order2_vs_A5_bilinear,NON_OP,0.2647,0.1911,0.3389,1.570e-10,4.397e-10,106,SIGNIFIKAN
P1_order2_vs_A6_gbm_fusion,NON_OP,0.0851,0.0477,0.1257,1.317e-06,2.305e-06,75,SIGNIFIKAN
P1_order2_vs_P2_fusion,NON_OP,-0.0020,-0.0122,0.0041,3.737e-03,4.360e-03,47,"AMBIGU(CI_excludes_0,|dMRR|>=0.01)"
P1_order2_vs_P3_hubidf,NON_OP,0.0486,0.0090,0.0902,4.060e-03,4.372e-03,61,SIGNIFIKAN
