product,target_name_norm,leaked_tokens
Spicy Day,gold incense by carolina herrera confidential,incense
Oran Cle,hugo boss orange,orange
Treasure to Love,d&g italian,italian
Bosa Nova,english pear & freesia jo malone london,pear
cinnabar,aoud lemon mint mancera,lemon
Artemis,green irish tweed creed,green
Forest,omnia green jade bvlgari,green
Mighty,the matcha 26 le labo,matcha
Fresh Matcha,green tea elizabeth arden,green
Man in Green,polo ralph lauren / polo green,green
Black Ford,ombré leather (2018) tom ford,leather
Secret Code,black saffron byredo,saffron
Fiori Leys,wild leather mancera,leather
silk safron,black saffron byredo,saffron
Blue Black,white musk the body shop,musk
Rosella,bvlgari rose essentielle eau de toilette rosee,rose
Bright Sunshine,miss dior rose n’roses dior,rose
Charmile,rose noir byredo,rose
Green Steam,rose des vents louis vuitton,rose
Axcoffe,dark temptation — axe,dark
Born to Shine,popcorn — demeter fragrance,popcorn
Unicorn Lady,gardenia — zara,gardenia
High Lily,aqua lily 2008 — the body shop,lily
Flower Mag,splendida magnolia sensuel — bvlgari,magnolia
Baorela,le parfum in white — elie saab,white
Sweet Vanilla,bare vanilla — victoria’s secret,vanilla
Choc Choco,vanilla latte — so...?,vanilla
Mady Girl,vanilla — the body shop,vanilla
Ice Cream,vanilla sundae victoria's secret,vanilla
Sauve Kiss,vanilla lace — victoria’s secret,vanilla
Senyasen,vibrant leather eau de parfum — zara,leather
Fornine,seduction in black — antonio banderas,black
tobacco,tobacco vanille — tom ford,tobacco
